Row Labels,Average of USD,Average of EUR,Average of GBP,Average of INR,Average of AED,Average of CNY
2008,871.8515267,593.0727481,472.7641603,37785.00218,3202.185344,6063.477557
2009,972.5411877,697.0999234,621.5108812,46997.71609,3572.070536,6643.337663
2010,1225.429119,925.9761303,793.1558621,56003.01889,4500.862682,8287.745134
2011,1571.017308,1129.660538,980.2457308,73526.54612,5770.274615,10143.36377
2012,1667.328927,1297.047893,1051.88295,89038.97287,6124.101839,10518.1208
2013,1410.383716,1063.164828,902.8764368,82181.91318,5180.342414,8678.023563
2014,1265.336207,952.6518008,767.8780843,77206.52632,4647.589042,7797.45977
2015,1159.227778,1044.488966,758.7932184,74313.56398,4257.825862,7282.165785
2016,1248.325287,1127.861303,925.725977,83855.29563,4585.089119,8292.387165
2017,1257.315385,1114.072538,975.9187692,81845.55892,4618.064615,8494.502577
2018,1268.938314,1074.323755,950.3483142,86667.14985,4660.928046,8383.108889
2019,1392.329119,1244.633755,1092.263525,98095.89211,5114.190345,9632.261877
2020,1769.924618,1548.618321,1378.381947,131232.7303,6501.182786,12202.26687
2021,1798.771648,1521.3259,1307.834713,132972.6393,6607.125326,11601.31008
2022,1815.75,1600.753333,1339.206333,135380.856,6669.326,11545.049
Grand Total,1352.234501,1099.374088,930.4402009,82702.13098,4966.778803,8880.31408
